name,url,description,visibility,action,update_description
flavorgod_company,https://github.com/yogipatel5/flavorgod_company,,PRIVATE,keep,no
google-suites,https://github.com/yogipatel5/google-suites,Manage Google Admin Console through Project for Full Domain Access,PRIVATE,keep,no
bettors-peg,https://github.com/yogipatel5/bettors-peg,Pegasus Boilerplate for Bettors.ai,PRIVATE,keep,no
messageserver,https://github.com/yogipatel5/messageserver,,PRIVATE,keep,no
docs,https://github.com/yogipatel5/docs,,PUBLIC,keep,no
ebay_django,https://github.com/yogipatel5/ebay_django,,PRIVATE,keep,no
sms-gateway-app,https://github.com/yogipatel5/sms-gateway-app,Android App to facilitate sms and mms over ADB,PRIVATE,keep,no
fg-apps,https://github.com/yogipatel5/fg-apps,,PUBLIC,keep,no
bettors,https://github.com/yogipatel5/bettors,,PRIVATE,keep,no
FG-DB-temp,https://github.com/yogipatel5/FG-DB-temp,Flavorgod DB Queries,PRIVATE,keep,no
ebay-gapps,https://github.com/yogipatel5/ebay-gapps,google apps script for ebay lister,PRIVATE,keep,no
ha,https://github.com/yogipatel5/ha,,PRIVATE,keep,no
proxmox_helpers,https://github.com/yogipatel5/proxmox_helpers,,PRIVATE,keep,no
django_starter,https://github.com/yogipatel5/django_starter,,PRIVATE,keep,no
server-setup,https://github.com/yogipatel5/server-setup,,PRIVATE,keep,no
ebay_api,https://github.com/yogipatel5/ebay_api,,PRIVATE,keep,no
bettors_peg_update-2-23,https://github.com/yogipatel5/bettors_peg_update-2-23,The most amazing SaaS application the world has ever seen,PRIVATE,keep,no
bettors-full,https://github.com/yogipatel5/bettors-full,Full bettors - w/ Google Auth,PRIVATE,keep,no
bettors-chat,https://github.com/yogipatel5/bettors-chat,,PRIVATE,keep,no
tools,https://github.com/yogipatel5/tools,Tools of all sorts to keep unison across different computers,PRIVATE,keep,no
linux-helper,https://github.com/yogipatel5/linux-helper,Initial scripts to add zsh and set-up server,PUBLIC,keep,no
WHS-DB,https://github.com/yogipatel5/WHS-DB,Queries to WHS-DB,PRIVATE,keep,no
FG-DB,https://github.com/yogipatel5/FG-DB,Flavorgod DB Queries,PUBLIC,keep,no
svg-ps-converters,https://github.com/yogipatel5/svg-ps-converters,Tools for Exporting into SVG Tiny Portable/Secure Format,PUBLIC,keep,no
scss-lint,https://github.com/yogipatel5/scss-lint,Configurable tool for writing clean and consistent SCSS,PUBLIC,keep,no
