name,path,is_git,remote_url,branch,has_changes,last_modified,size_mb,action
Devin,/Users/yp/Code/Devin,True,No remote URL,develop,False,2024-12-27 14:58:26,207.12629413604736,keep
openai-API,/Users/yp/Code/openai-API,True,https://github.com/Kouidersif/openai-API,sif,True,2024-01-22 00:38:01,0.37204456329345703,keep
yp-api,/Users/yp/Code/yp-api,False,,,False,2023-11-26 02:32:57,0.0,keep
company_assets,/Users/yp/Code/company_assets,False,,,False,2024-01-05 01:56:36,0.43471813201904297,keep
SuperAGI,/Users/yp/Code/SuperAGI,True,https://github.com/TransformerOptimus/SuperAGI.git,main,True,2025-01-03 14:21:04,69.82819557189941,keep
crewai,/Users/yp/Code/crewai,False,,,False,2025-01-02 18:01:05,137.12491416931152,keep
maker_bot,/Users/yp/Code/maker_bot,False,,,False,2023-11-19 01:05:46,132.98291397094727,keep
fanduel-api,/Users/yp/Code/fanduel-api,True,https://github.com/RK-GEEKSDOBYTE/fanduel-api.git,master,True,2024-03-14 02:17:52,0.35218143463134766,keep
tools,/Users/yp/Code/tools,False,,,False,2024-09-19 13:46:23,8948.346881866455,keep
docker,/Users/yp/Code/docker,True,https://github.com/mattermost/docker,main,True,2024-03-14 02:17:52,0.18594074249267578,keep
ebay-app,/Users/yp/Code/ebay-app,True,https://github.com/yogipatel5/ebay-gapps.git,main,True,2024-12-16 13:33:47,0.5532817840576172,keep
roop-main,/Users/yp/Code/roop-main,False,,,False,2024-03-14 02:17:52,3.300386428833008,keep
VirtualBox VMs,/Users/yp/Code/VirtualBox VMs,False,,,False,2024-03-14 03:12:35,0.3199043273925781,keep
app.wehandleship.com,/Users/yp/Code/app.wehandleship.com,True,https://github.com/fitlifegroup/app.wehandleship.com.git,update_move_stocks_view,True,2024-12-11 14:08:03,167.4979305267334,keep
google_suites,/Users/yp/Code/google_suites,True,https://github.com/yogipatel5/google-suites.git,fix/test-mocks,True,2025-01-02 17:36:05,378.0600595474243,keep
.pytest_cache,/Users/yp/Code/.pytest_cache,False,,,False,2023-11-09 17:25:11,0.000560760498046875,keep
config,/Users/yp/Code/config,False,,,False,2024-02-18 17:23:16,18.851975440979004,keep
image-projects,/Users/yp/Code/image-projects,False,,,False,2023-11-17 03:50:28,114.74378204345703,keep
plugin-vscode-notion,/Users/yp/Code/plugin-vscode-notion,True,https://github.com/neurosity/plugin-vscode-notion.git,master,True,2024-10-07 15:08:35,3.71781063079834,keep
gapps,/Users/yp/Code/gapps,False,,,False,2024-11-23 16:35:18,2.0511369705200195,keep
shipbreeze,/Users/yp/Code/shipbreeze,False,,,False,2024-12-04 16:28:28,0.007609367370605469,keep
